plot,block.no,sequence.id,abiotic,wood.perc.n,wood.perc.c,wood.c.to.n,wood.perc.moist,w,n,perc.denloss,soil.moisture,soil.sir,wood.sir,soil.moist,wood.sir,wood.sir.perwet,wood.sir.perdry,wood.sir.scale.sqrt,soil.n,soil.c,soil.cn,wn,soil.temp,soil.ph,richness,evenness,frequency.rank,prop.p2,e.prop.p2
9,46,NA,n,0.1,47.6,476,0.1896149358,0,1,0.0446766212,10.1111111111,0.1340709609,0.1132132165,40.44,0.1132132165,0.0920432655,13.9582820448,0.107516345,1.75,40.2,23,0,16.05,4.17,NA,NA,NA,NA,NA
1,50,NA,c,0.3222222222,47.7,148.0344827586,0.390167364,0,0,0.3853143626,9.6666666667,0.1853425857,0.6552207994,38.29,0.6552207994,0.394711325,48.8959960858,0.3045822408,1.7,41.55,24.7,0,15.9,3.84,NA,NA,NA,NA,NA
16,51,NA,n,0.1,47.9,479,0.2051674316,0,1,0.2490444115,12.5555555556,0.0318045512,0.0794967899,54.31,0.0794967899,0.0611513768,8.9851398809,0,1.95,44.25,22.55,0,15.1,3.76,NA,NA,NA,NA,NA
14,52,Wood12,c,0.3,45.3,151,0.4457470366,0,0,0.3446318446,8.7777777778,1.2385927698,1.591813675,59.49,1.591813675,0.8843409306,154.3791577963,0.5813428351,1.45,35.1,23.45,0,15.75,3.87,61,0.98040015,146.4262295082,0.4411764706,1
14,53,NA,c,0.3,50.4,168,0.2877162463,0,0,0.4363298626,7.3333333333,0.1880616184,0.5996686986,47.27,0.5996686986,0.4223019005,50.2438043769,0.3096824814,1.45,35.1,23.45,0,15,3.87,NA,NA,NA,NA,NA
16,54,NA,n,0.3,51.3,171,0.1740451389,0,1,0.3555446517,10.5555555556,0.1670432229,0.2178337235,41.65,0.2178337235,0.1785522324,15.1025538701,0.1192457724,1.95,44.25,22.55,0,15.05,3.76,NA,NA,NA,NA,NA
16,55,Wood39,n,0.3,53,176.6666666667,0.2745579568,0,1,0.3521490134,10.8888888889,1.6347257294,0.6878997244,44.75,0.6878997244,0.5021165872,43.4157301998,0.28289892,1.95,44.25,22.55,0,15.3,3.76,76,0.9800275665,123,0.6111111111,1
14,56,NA,c,0.1,44.2,442,0.3648027112,0,0,0.2198223504,11.6666666667,0.6816789386,1.2955631841,63.91,1.2955631841,0.8199766988,151.0667694078,0.5746825627,1.45,35.1,23.45,0,15.15,3.87,NA,NA,NA,NA,NA
13,57,Wood30,w,0.1,45.8,458,0.5458701498,1,0,0.1394661714,7.8888888889,0.6962280304,0.1980657445,47.78,0.1980657445,0.0896225088,26.2125199341,0.2001099449,1.4,34.25,24.75,0,23.45,3.93,70,0.9800256957,131.0285714286,0.5581395349,0.9090909091
6,58,NA,n,0.3222222222,49.4,153.3103448276,0.2350389092,0,1,0.1856015774,12.2222222222,0.1995007611,0.6143965728,48.91,0.6143965728,0.4619523104,77.9430541223,0.4003603992,1.85,42.1,23.1,0,15.6,4.1,NA,NA,NA,NA,NA
7,60,Wood40,wn,0.5,42.5,85,0.5052184834,1,1,0.2190199539,7.3333333333,0.1455272273,0.7654849001,45.92,0.7654849001,0.3734072683,100.027288647,0.4600238039,0.9,20.9,22.35,1,21.3,4.6,92,0.9768444744,133.7173913043,0.6216216216,0.84
23,62,NA,n,0.4,48.2,120.5,0.1938738411,0,1,0.2721469035,8.1111111111,0.2778343584,0.4434770304,50.56,0.4434770304,0.3576427665,46.6070709841,0.2957192506,1.8,46.95,25.65,0,15.85,3.61,NA,NA,NA,NA,NA
24,63,Wood33,c,0.2,46.3,231.5,0.4084218472,0,0,0.1654976676,8.8888888889,0.121298792,1.1734208272,39.33,1.1734208272,0.6782779348,148.0248375382,0.5684973734,1.85,44,24.1,0,10.65,3.67,106,0.9741063917,128.820754717,0.6585365854,0.9375
12,64,NA,c,0.8,49.4,61.75,0.469340571,0,0,0.570884576,14.7777777778,1.3273667291,3.4211305108,62.21,3.4211305108,0.0181012196,204.0208512729,0.6733116431,1.75,39.5,22.15,0,14.9,3.84,NA,NA,NA,NA,NA
3,65,NA,wn,1.1,47.7,43.3636363636,0.7478598535,1,1,0.5692165478,6.8888888889,0.4501599121,4.1462289595,65.84,4.1462289595,1.0550200915,155.6646427379,0.5839071184,1.35,30.8,22.85,1,21.05,4.36,NA,NA,NA,NA,NA
7,66,NA,wn,0.1,46.2,462,0.2594387113,1,1,0.1111675473,6.6666666667,0.1259132385,0.2647110957,22.21,0.2647110957,0.199030899,36.4918761877,0.2528590996,0.9,20.9,22.35,1,21.65,4.6,NA,NA,NA,NA,NA
7,67,NA,wn,0.2,46.8,234,0.3487025281,1,1,0.1779338449,5.5555555556,0.0933760187,1.1742131223,16.16,1.1742131223,0.7575568531,156.8756368582,0.5863125486,0.9,20.9,22.35,1,21.1,4.6,NA,NA,NA,NA,NA
4,68,NA,wn,0.2,46.4,232,0.5075686537,1,1,0.2530505879,7.3333333333,0.9521359614,0.8663272223,61.96,0.8663272223,0.4331636111,106.1013474766,0.4751217506,1.5,36.55,24.2,1,21.25,3.83,NA,NA,NA,NA,NA
8,69,NA,w,0.3,48.314,161.0466666667,0.6226269316,1,0,0.4208843392,7.2222222222,0.1336317874,1.2391496338,40.51,1.2391496338,0.465845727,94.4034687079,0.4455891325,0.8,19.2,22.9,0,21.35,4.37,NA,NA,NA,NA,NA
2,70,Wood34,w,0.3222222222,47.7,148.0344827586,0.474271951,1,0,0.4015980889,8.1111111111,0.1769505816,1.3873088292,48.34,1.3873088292,0.7340258355,145.5631070285,0.5634422079,1.4,32.4,23.05,0,20.25,3.99,102,0.9786160371,127.1078431373,0.5483870968,0.8571428571
9,71,NA,n,0.1,46.5,465,0.1864222576,0,1,0.0557764415,9.2222222222,0.1008589738,0.0878179958,27.57,0.0878179958,0.0719819638,11.3929014262,0.0748110572,1.75,40.2,23,0,16.45,4.17,NA,NA,NA,NA,NA
1,72,Wood36,c,0.2,46,230,0.2612628133,0,0,0.2321180047,9.1111111111,1.1235001547,0.3108649299,39.64,0.3108649299,0.2285771543,30.1021921674,0.2215520142,1.7,41.55,24.7,0,15.65,3.84,77,0.9817920378,127.8181818182,0.5555555556,1
8,73,NA,w,0.3,48.3,161,0.5700399059,1,0,0.3642354727,7.4444444444,1.224115692,0.6766807174,57.65,0.6766807174,0.2942090076,66.6178380618,0.3660104889,0.8,19.2,22.9,0,22.4,4.37,NA,NA,NA,NA,NA
24,74,Wood45,c,0.2,50.7,253.5,0.2194541638,0,0,0.0839271507,8.6666666667,1.1062528599,0.1606315058,45.37,0.1606315058,0.1274853221,20.4219356115,0.1630464087,1.85,44,24.1,0,15.2,3.67,55,0.9753578105,125,1,1
24,75,NA,c,0.2,51.4,257,0.452972973,0,0,0.3464554771,8.2222222222,0.8901944406,2.2043446268,53.73,2.2043446268,1.2314774452,213.2882872019,0.6891227438,1.85,44,24.1,0,15.3,3.67,NA,NA,NA,NA,NA
24,76,NA,c,0.2,47.8,239,0.2404218788,0,0,0.0655485371,8.8888888889,1.2997145445,0.0921513932,43.84,0.0921513932,0.0714351886,16.0648237617,0.1282820786,1.85,44,24.1,0,10.65,3.67,NA,NA,NA,NA,NA
14,77,Wood46,c,0.3,45.5,151.6666666667,0.3801540553,0,0,0.3261735771,11.6666666667,1.0649641793,0.4678380381,60.59,0.4678380381,0.2923987738,46.3023058366,0.294519044,1.45,35.1,23.45,0,15.15,3.87,70,0.9822490428,134.2285714286,0.8333333333,0.7777777778
8,78,NA,w,0.3,47.8,159.3333333333,0.4910634936,1,0,0.1959220771,7.2222222222,0.1388038699,0.7863093138,35.44,0.7863093138,0.3971259161,92.5339717341,0.4406859923,0.8,19.2,22.9,0,21.35,4.37,NA,NA,NA,NA,NA
8,79,Wood24,w,0.2,46.4,232,0.6357710585,1,0,0.4150959933,7.4444444444,1.3957484843,1.5688844585,63.86,1.5688844585,0.5663842811,151.3897779842,0.5753354339,0.8,19.2,22.9,0,22.4,4.37,68,0.9855412216,140.2647058824,0.5882352941,1
7,80,NA,wn,0.2,46.9,234.5,0.526159788,1,1,0.2536287436,7.3333333333,0.5974786012,0.9132532801,55.04,0.9132532801,0.4307798491,108.1710498764,0.4801578641,0.9,20.9,22.35,1,21.3,4.6,NA,NA,NA,NA,NA
6,82,NA,n,0.1,50.7,507,0.2204856937,0,1,0.1936549557,12.2222222222,0.3150336073,0.1896386144,43.92,0.1896386144,0.143665617,20.7045113792,0.1650483609,1.85,42.1,23.1,0,15.6,4.1,NA,NA,NA,NA,NA
